Adhesive|Adhesive-Name|Property|Condition|Value|type|NART|property_key|property_value|lb|ub|target_value
14174-80000-00|Cello 33.146|Peel Adhesion (N/cm)|SUS|7.1|adhesive|14174-80000-00|adhesive##peel adhesion (n/cm)##sus##|7.1|7.1|7.1|7.1
14174-80000-00||Peel Adhesion (N/cm)|PC|8.3|adhesive|14174-80000-00|adhesive##peel adhesion (n/cm)##pc##|8.3|8.3|8.3|8.3
14174-80000-00||Holding Power (mins)|RT|>10000|adhesive|14174-80000-00|adhesive##holding power (mins)##rt##|>10000|10000.0||10000.0
14174-80000-00||Edge taping|60/90|>7d|adhesive|14174-80000-00|adhesive##edge taping##60/90##|>7d|7.0||7.0
14174-80000-00||Static Peel (mm)|50g,70℃ 24hr|1|adhesive|14174-80000-00|adhesive##static peel (mm)##50g,70℃ 24hr##|1|1.0|1.0|1.0
14174-80000-00||Name Plate (mm)|30°,60/90 24hr|3|adhesive|14174-80000-00|adhesive##name plate (mm)##30°,60/90 24hr##|3|3.0|3.0|3.0
14174-80000-00||Tg(℃)|DSC|-31|adhesive|14174-80000-00|adhesive##tg(℃)##dsc##|-31|-31.0|-31.0|-31.0
14174-80000-00||Tg(℃)|DMA|-2|adhesive|14174-80000-00|adhesive##tg(℃)##dma##|-2|-2.0|-2.0|-2.0
10164-70000-00|Cello 33.171|Peel Adhesion (N/cm)|SUS|6|adhesive|10164-70000-00|adhesive##peel adhesion (n/cm)##sus##|6|6.0|6.0|6.0
10164-70000-00||Peel Adhesion (N/cm)|PC|6|adhesive|10164-70000-00|adhesive##peel adhesion (n/cm)##pc##|6|6.0|6.0|6.0
10164-70000-00||Holding Power (mins)|RT|>10000|adhesive|10164-70000-00|adhesive##holding power (mins)##rt##|>10000|10000.0||10000.0
10164-70000-00||Edge taping|60/90|2-5d|adhesive|10164-70000-00|adhesive##edge taping##60/90##|2-5d|2.0|5.0|3.5
