ID|Product Spec|Product_type|Product_spec_nart|No.|Item Description|Item No.|Unit|Target Value|Test Method|Test Type|property_key|property_value|lb|ub
1|62565-70000-57|double_liner|62565-70000-57PP4079|0|Adhensive weight of 1st coating|PP4079|g/m²|20000|J0PM0005|I|pp4079##g/m²##j0pm0005##|20000|20000.0|20000.0
2|62565-70000-57|double_liner|62565-70000-57PP4080|0|Adhensive weight of 2cd coating|PP4080|g/m²|10000|J0PM0005|I|pp4080##g/m²##j0pm0005##|10000|10000.0|10000.0
3|62565-70000-57|double_liner|62565-70000-57P4079|1|Total weight after 1st coating, without liner|P4079|g/m²|37.00 ± 5.00|J0PM0005|I|p4079##g/m²##j0pm0005##|37.00 ± 5.00|32.0|42.0
4|62565-70000-57|double_liner|62565-70000-57P4080|2|Total weight, without liner|P4080|g/m²|47.00 ± 6.00|J0PM0005|I|p4080##g/m²##j0pm0005##|47.00 ± 6.00|41.0|53.0
5|62565-70000-57|double_liner|62565-70000-57P4433|3|Total thickness, without liner (10N;disc:16mm)|P4433|µM|40 ± 6|J0PMC002|L|p4433##µm##j0pmc002##|40 ± 6|34.0|46.0
6|62565-70000-57|double_liner|62565-70000-57P4140|4|Removable force of liner foil, inside (180° method)|P4140|cN/cm|<=10|J0PMH001|L|p4140##cn/cm##j0pmh001##|<=10||10.0
7|62565-70000-57|double_liner|62565-70000-57P4141|5|Removable force of liner foil, outside (180° method)|P4141|cN/cm|<=15|J0PMH001|L|p4141##cn/cm##j0pmh001##|<=15||15.0
8|62565-70000-57|double_liner|62565-70000-57P4338|6|Peel adhesion/Steel, inside (180° method, ASTM3300)|P4338|N/cm|3.0 ± 1.0|ASTM_D_3330_D3330M|L|p4338##n/cm##astm_d_3330_d3330m##|3.0 ± 1.0|2.0|4.0
9|62565-70000-57|double_liner|62565-70000-57P4339|7|Peel adhesion/Steel, outside (180° method, ASTM3300)|P4339|N/cm|7.0 ± 2.0|ASTM_D_3330_D3330M|L|p4339##n/cm##astm_d_3330_d3330m##|7.0 ± 2.0|5.0|9.0
10|62565-70000-57|double_liner|62565-70000-57P4340|8|Peel adhesion/Steel, 14 days, inside (180° method, ASTM3300)|P4340|N/cm|3.8 ± 1.5|ASTM_D_3330_D3330M|T|p4340##n/cm##astm_d_3330_d3330m##|3.8 ± 1.5|2.3|5.3
11|62565-70000-57|double_liner|62565-70000-57P4341|9|Peel adhesion/Steel, 14 days, outside (180° method, ASTM3300|P4341|N/cm|8.5 ± 2.0|ASTM_D_3330_D3330M|T|p4341##n/cm##astm_d_3330_d3330m##|8.5 ± 2.0|6.5|10.5
12|62565-70000-57|double_liner|62565-70000-57P4144|10|Peel adhesion/Steel, inside (180° method)|P4144|N/cm|4.2 ± 1.5|J0PMA002|T|p4144##n/cm##j0pma002##|4.2 ± 1.5|2.7|5.7
13|62565-70000-57|double_liner|62565-70000-57P4145|11|Peel adhesion/Steel, outside (180° method)|P4145|N/cm|10.0 ± 2.5|J0PMA002|T|p4145##n/cm##j0pma002##|10.0 ± 2.5|7.5|12.5
14|62565-70000-57|double_liner|62565-70000-57P4146|12|Peel adhesion/Steel, 14 days, inside (180° method)|P4146|N/cm|5.0 ± 1.5|J0PMA002|T|p4146##n/cm##j0pma002##|5.0 ± 1.5|3.5|6.5
15|62565-70000-57|double_liner|62565-70000-57P4147|13|Peel adhesion/Steel, 14 days, outside (180° method)|P4147|N/cm|11.5 ± 2.5|J0PMA002|T|p4147##n/cm##j0pma002##|11.5 ± 2.5|9.0|14.0
16|62565-70000-57|double_liner|62565-70000-57P4113|14|RoHS conformity, proofed by ext. certificate of analysis|P4113|-|i. O. / OK|3RD_PARTY_LAB|T|p4113##-##3rd_party_lab##|i. O. / OK||
17|62565-70000-57|double_liner|62565-70000-57P4114|15|halogen content (F,Cl,Br,I), proofed by external CoA|P4114|ppm|<=50|3RD_PARTY_LAB|T|p4114##ppm##3rd_party_lab##|<=50||50.0
18|62573-70000-55|double_liner|62573-70000-55PP4079|0|Adhensive weight of 1st coating|PP4079|g/m²|20000|J0PM0005||pp4079##g/m²##j0pm0005##|20000|20000.0|20000.0
19|62573-70000-55|double_liner|62573-70000-55PP4080|0|Adhensive weight of 2cd coating|PP4080|g/m²|20000|J0PM0005||pp4080##g/m²##j0pm0005##|20000|20000.0|20000.0
20|62573-70000-55|double_liner|62573-70000-55P4079|1|Total weight after 1st coating, without liner|P4079|g/m²|37 ± 4|J0PM0005|I/SC-P|p4079##g/m²##j0pm0005##|37 ± 4|33.0|41.0
21|62573-70000-55|double_liner|62573-70000-55P4080|2|Total weight, without liner|P4080|g/m²|57 ± 6|J0PM0005|I/SC-P|p4080##g/m²##j0pm0005##|57 ± 6|51.0|63.0
22|62573-70000-55|double_liner|62573-70000-55P4433|3|Total thickness, without liner (10N;disc:16mm)|P4433|µM|50 ± 5|J0PMC002|L|p4433##µm##j0pmc002##|50 ± 5|45.0|55.0
23|62573-70000-55|double_liner|62573-70000-55P4140|4|Removable force of liner foil, inside (180° method)|P4140|cN/cm|<= 10|J0PMH001|L|p4140##cn/cm##j0pmh001##|<= 10||10.0
24|62573-70000-55|double_liner|62573-70000-55P4141|5|Removable force of liner foil, outside (180° method)|P4141|cN/cm|<= 20|J0PMH001|L|p4141##cn/cm##j0pmh001##|<= 20||20.0
25|62573-70000-55|double_liner|62573-70000-55P4407|6|Removability/PC,remov. s.(aging; 7d dwelling;85°C;95%rh)|P4407|-|rating = 1|J0PM0168|L|p4407##-##j0pm0168##|rating = 1||
26|62573-70000-55|double_liner|62573-70000-55P4408|7|Removability/Glass,remov.s. (aging; 7d dwelling;85°C;95%rh)|P4408|-|rating = 1|J0PM0168|L|p4408##-##j0pm0168##|rating = 1||
27|62573-70000-55|double_liner|62573-70000-55P4409|8|Removability/ABS,remov.s. (aging; 7d dwelling;85°C;95%rh)|P4409|-|rating = 1|J0PM0168|L|p4409##-##j0pm0168##|rating = 1||
28|62573-70000-55|double_liner|62573-70000-55P4338|9|Peel adhesion/Steel, inside (180° method, ASTM3300)|P4338|N/cm|1.0 - 1.9|ASTM_D_3330_D3330M|L|p4338##n/cm##astm_d_3330_d3330m##|1.0 - 1.9|1.0|1.9
29|62573-70000-55|double_liner|62573-70000-55P4339|10|Peel adhesion/Steel, outside (180° method, ASTM3300)|P4339|N/cm|4.9 ± 0.9|ASTM_D_3330_D3330M|L|p4339##n/cm##astm_d_3330_d3330m##|4.9 ± 0.9|4.0|5.800000000000001
30|62573-70000-55|double_liner|62573-70000-55P4144|11|Peel adhesion/Steel, inside (180° method)|P4144|N/cm|2.2 ± 0.6|J0PMA002|T|p4144##n/cm##j0pma002##|2.2 ± 0.6|1.6|2.8000000000000003
31|62573-70000-55|double_liner|62573-70000-55P4145|12|Peel adhesion/Steel, outside (180° method)|P4145|N/cm|7.0 ± 2.0|J0PMA002|T|p4145##n/cm##j0pma002##|7.0 ± 2.0|5.0|9.0
32|62573-70000-55|double_liner|62573-70000-55P4146|13|Peel adhesion/Steel, 14 days, inside (180° method)|P4146|N/cm|1.5 ± 0.7|J0PMA002|T|p4146##n/cm##j0pma002##|1.5 ± 0.7|0.8|2.2
33|62573-70000-55|double_liner|62573-70000-55P4147|14|Peel adhesion/Steel, 14 days, outside (180° method)|P4147|N/cm|8.6 ± 2.5|J0PMA002|T|p4147##n/cm##j0pma002##|8.6 ± 2.5|6.1|11.1
34|62573-70000-55|double_liner|62573-70000-55P4150|15|Peel adhesion/ABS, inside (180° method)|P4150|N/cm|1.7 ± 0.9|J0PMA002|T|p4150##n/cm##j0pma002##|1.7 ± 0.9|0.7999999999999999|2.6
35|62573-70000-55|double_liner|62573-70000-55P4151|16|Peel adhesion/ABS, outside (180° method)|P4151|N/cm|6.8 ± 2.0|J0PMA002|T|p4151##n/cm##j0pma002##|6.8 ± 2.0|4.8|8.8
36|62573-70000-55|double_liner|62573-70000-55P4152|17|Peel adhesion/ABS, 14 days, inside (180° method)|P4152|N/cm|1.9 ± 0.7|J0PMA002|T|p4152##n/cm##j0pma002##|1.9 ± 0.7|1.2|2.5999999999999996
37|62573-70000-55|double_liner|62573-70000-55P4153|18|Peel adhesion/ABS, 14 days, outside (180° method)|P4153|N/cm|7.8 ± 1.5|J0PMA002|T|p4153##n/cm##j0pma002##|7.8 ± 1.5|6.3|9.3
38|62573-70000-55|double_liner|62573-70000-55P4154|19|Peel adhesion/PC, inside (180° method)|P4154|N/cm|1.7 ± 0.9|J0PMA002|T|p4154##n/cm##j0pma002##|1.7 ± 0.9|0.7999999999999999|2.6
39|62573-70000-55|double_liner|62573-70000-55P4155|20|Peel adhesion/PC, outside (180° method)|P4155|N/cm|8.3 ± 2.0|J0PMA002|T|p4155##n/cm##j0pma002##|8.3 ± 2.0|6.300000000000001|10.3
40|62573-70000-55|double_liner|62573-70000-55P4156|21|Peel adhesion/PC, 14 days, inside (180° method)|P4156|N/cm|1.7 ± 0.7|J0PMA002|T|p4156##n/cm##j0pma002##|1.7 ± 0.7|1.0|2.4
41|62573-70000-55|double_liner|62573-70000-55P4157|22|Peel adhesion/PC, 14 days, outside (180° method)|P4157|N/cm|9.5 ± 2.0|J0PMA002|T|p4157##n/cm##j0pma002##|9.5 ± 2.0|7.5|11.5
42|66505-70000-55|double_liner|66505-70000-55PP4079|0|Adhensive weight of 1st coating|PP4079|g/m²|30000|J0PM0005||pp4079##g/m²##j0pm0005##|30000|30000.0|30000.0
