Item_No|product_count|Item_Name
P4003|7|Moisture paper liner, 1 week aging (Moistrex Pg6; 80g/m²)##%##
P4004|29|Removable force of paper liner (180° method)##cN/cm##
P4005|32|Peel adhesion/Steel, open side (180° method)##N/cm##
P4006|32|Peel adhesion/Steel, covered side (180° method)##N/cm##
P4007|32|Peel adhesion/Steel, 14 days, open side (180° method)##N/cm##
P4008|32|Peel adhesion/Steel, 14days, covered side (180° method)##N/cm##
P4009|15|Peel adhesion/ABS, open side (180° method)##N/cm##
P4010|15|Peel adhesion/ABS, covered side (180° method)##N/cm##
P4011|15|Peel adhesion/ABS, 14 days, open side (180° method)##N/cm##
P4012|15|Peel adhesion/ABS, 14days, covered side (180° method)##N/cm##
P4013|25|Peel adhesion/PC, open side (180° method)##N/cm##
P4014|25|Peel adhesion/PC, covered side (180° method)##N/cm##
P4015|25|Peel adhesion/PC, 14 days, open side (180° method)##N/cm##
P4016|25|Peel adhesion/PC, 14days, covered side (180° method)##N/cm##
P4017|16|Peel adhesion/PE, covered side (180° method)##N/cm##
P4018|16|Peel adhesion/PE, 14 days, open side (180° method)##N/cm##
P4019|16|Peel adhesion/PE, 14 days, open side (180° method)##N/cm##
P4020|16|Peel adhesion/PE, 14days, covered side (180° method)##N/cm##
P4041|26|Holding power/steel, open side (10N; RT)##min##
P4042|26|Holding power/steel, covered side (10N; RT)##min##
P4043|7|Peel adhesion/Alu, open side (180° method)##N/cm##
P4044|7|Peel adhesion/Alu, covered side (180° method)##N/cm##
P4045|7|Peel adhesion/Alu, 14days, open side (180° method)##N/cm##
P4046|7|Peel adhesion/Alu, 14days, covered side (180° method)##N/cm##
P4047|4|Peel adhesion/PS, covered side (180° method)##N/cm##
P4048|4|Peel adhesion/PS, 14days, open side (180° method)##N/cm##
P4049|4|Peel adhesion/PS, 14days, covered side (180° method)##N/cm##
P4050|4|Peel adhesion/PET, open side (180° method)##N/cm##
P4051|13|Peel adhesion/PET, covered side (180° method)##N/cm##
P4052|13|Peel adhesion/PET, 14days, open side (180° method)##N/cm##
P4053|13|Peel adhesion/PET, 14days, covered side (180° method)##N/cm##
P4054|13|Peel adhesion/PET, 14days, covered side (180° method)##N/cm##
P4055|6|Peel adhesion/PVC, covered side (180° method)##N/cm##
P4056|6|Peel adhesion/PVC, 14days, open side (180° method)##N/cm##
P4057|6|Peel adhesion/PVC, 14days, covered side (180° method)##N/cm##
P4058|6|Peel adhesion/PE, open side (180° method)##N/cm##
P4059|6|Peel adhesion/PP, covered side (180° method)##N/cm##
P4060|6|Peel adhesion/PP, 14days, open side (180° method)##N/cm##
P4061|6|Peel adhesion/PP, 14days, covered side (180° method)##N/cm##
P4062|6|Peel adhesion/Glass, open side (180° method)##N/cm##
P4063|18|Heat resistance, long time##°C##
P4064|17|Heat resistance, long time##°C##
P4065|11|Maximum tensile strength, M.D.(L=100mm;v=300mm/min)##N/15mm##
P4066|11|Heat resistance, short time##%##
P4067|1|Shear test, open side (250g;RT)##min##
P4068|1|Shear test, covered side (250g;RT)##min##
P4069|1|Shear test, open side (125g;40°C)##min##
P4070|1|Shear test, covered side (125g;40°C)##min##
P4071|1|Shear test, open side (70g;70°C)##min##
P4072|1|Shear test, covered side (70g;70°C)##min##
P4079|41|Total weight after 1st coating, without liner##g/m²##
P4080|41|Total weight, without liner##g/m²##
P4083|9|Rolling Ball Tack, covered side##mm##
P4084|8|Rolling Ball Tack, covered side##mm##
P4110|22|Moisture paper liner, 1 week aging (Moistrex Pg11; 82g/m²)##%##
P4111|7|Peel adhesion/PI, open side (180° method)##N/cm##
P4112|7|Peel adhesion/PI, covered side (180° method)##N/cm##
P4113|33|RoHS conformity, proofed by ext. certificate of analysis##-##
P4114|32|halogen content (F, Cl, Br, I), proofed by external CoA##ppm##
P4115|10|Static Peel/PC, open side (50g; 70°C; 4h)##mm##
P4116|10|Static Peel/PC, covered side (50g; 70°C; 4h)##mm##
P4119|6|Flip Off, open side (100µmPET/PC;72h;85°C)##-##
P4120|6|Flip Off, covered side (100µmPET/PC;72h;85°C)##-##
P4127|2|Removable force of liner film (180° method)##cN/cm##
P4131|8|Peel adhesion/Glass, covered side (180° method)##N/cm##
P4132|8|Peel adhesion/Glass, 14 days, open side (180° method)##N/cm##
P4133|8|Peel adhesion/Glass, 14 days, covered side (180° method)##N/cm##
P4134|8|Maximum tensile strength, M.D.(L=100mm;v=300mm/min)##N/cm##
P4140|6|Removable force of liner foil, inside (180° method)##cN/cm##
P4141|6|Removable force of liner foil, outside (180° method)##cN/cm##
